ID,Text_lang,Title_lang,ConditionID
3,"The Winter Queen has asked for you to deliver a message to Sire Denathrius, the Master of Revendreth. You will need his help for the coming conflict.",Welcome to Revendreth,0
111,Test,,0
158,"Following an unprovoked assault on Bastion, you were tasked with journeying to Maldraxxus and investigating why the armies of the dead have betrayed their oath to defend the Shadowlands.",Champion of Pain,0
277,"Using a set of blueprints you recovered and the destructive capabilities of the G.M.O.D. at your disposal, you and Gallywix managed to destroy an airship utilized by High Tinker Mekkatorque and set Alliance interests in Drustvar back even further.",,0
620,"You have reached the vault, but Sarkareth and the Sundered Flame are already inside.",,109468
628,The djaradin seek to free an ancient and powerful elder from Aberrus. This could be a threat to all dragons.,,109460
613,"The Incarnates have made their move, leading Alexstrasza to call upon you and the black dragonflight for aid.",Breaking Ground,109442
633,The black dragons have a foothold in Aberrus. Now is the time to join Emberthal in stopping Sarkareth's mad plan.,,109483
612,"The dracthyr have returned to the Forbidden Reach. You were summoned there to speak with Viridia of the Healing Wings. Her dracthyr needed help rebuilding a tuskarr village, fending off raiders, and creating a refuge for all who would live here.",Extend Our Reach,106333
614,"The Incarnates have blasted a hole and opened the way into caves far beneath the Dragon Isles. Fyrakk has entered the cave without the other Incarnates. Ebyssian, Sabellian, Wrathion, and you have been asked to pursue him.",,109443
629,"While battling the djaradin, the black dragons discovered slitherdrakes who escaped from Aberrus. Now they must be protected from the djaradin and their jailers.",,109461
622,"Investigating the caldera has revealed the djaradin are trying to awaken their elders from ancient slumber, and the primalists are aiding them.",,109426
631,"Sarkareth is making his way into Aberrus, which is guarded by both the Sundered Flame, and the servants of the long gone master of the lab, Neltharion. You will need all of the dragons to face this.",,109469
623,"Fyrakk has been bathing in the shadowflame, absorbing its power. Sabellian was struck by the shadowflame, but Ebyssian believes he can cure the injury with your help.",,109427
625,"The fires in Loamm have been extinguished, but the time has come to inform Alexstrasza of what happened.",,109429
630,"Although Wrathion and Sabellian have gone their separate ways, Emberthal is still pursuing Sarkareth alone. Ebyssian has urged you to find her.",Inevitable Confrontation,109422
624,"Urged on by his losses against Fyrakk, Sabellian used a djaradin weapon to attack the Incarnate. The attack failed.  The djaradin struck down Ebyssian and Fyrakk attacked the town of Loamm. Now both Ebyssian and Loamm need your help.",,109428
619,"The Sundered Flame are looking for Aberrus, Neltharion's secret laboratory from ages past. They have already found clues in a titan vault. The race is on to stop Sarkareth before he unlocks its secrets.",,109467
626,"Despite Alexstrasza's worries about the risk of exposure to the shadowflame, Ebyssian insists the black dragons must contain any other threats that may reside in Aberrus.",Inherited Sin,109458
621,Sabellian has determined the most likely place to find Fyrakk and has asked you to join the hunt in the Zaqali Caldera.,The Ancient Bargain,109425
618,"Ebyssian and Emberthal arrived in Loamm, pursuing the Sundered Flame to discover their purpose in the caves. Sabellian and Wrathion are caught up in their own plans, but Ebyssian and you are ready to aid her.",Sundered Legacy,109466
632,Ebyssian and you have rallied Sabellian and Wrathion to aid Emberthal and breach Aberrus.,,109470
627,"At the Obsidian Rest, you have been asked to aid them against the djaradin encroaching on the lab.",,109459
586,You were informed that Murik in Iskaara wanted to speak to you regarding a tuskarr tribe in The Waking Shores.,The Chieftain's Duty,103125
608,Alexstrasza and the other dragons leaders shared an ancient artifact with you that Keeper Tyr gave them long ago. Though it was long dormant it now pulsed with magical energy. You took the artifact to Tyrhold where you unlocked the mystery behind why it emanated such power.,The Silver Purpose,104949
634,"While you have defeated many of the threats within Aberrus, some still linger. Sabellian and Wrathion must pick up the pieces, and forge a new future for the black dragonflight.","A Flame, Extinguished",109464
604,"After clearing out the Hall of Samples and the Hall of the Aspects, you were able to unseal the Hall of Records. However, there were more trials to face. Once you navigated the Hall of Records, you were finally able to retrieve titan discs full of valuable information. 

Upon making a hasty escape from the facility, you returned to the Dragonscale Basecamp with Naleidea and Toddy.",,103686
602,Cataloger Jakes at the Dragonscale Basecamp has a message for you.,Opening The Door,105296
661,"With the aid of the former rebel, Maldra, you have prevented a plot to destroy the aqueduct that feeds the Ruby Life Pools and taken rebel prisoners. Now Alexstrasza wants to hear what caused the rebellion in the prisonersï¿½ own words, so she can end the fighting.",,108832
589,"You learned that Tutaqan--the chieftain and huntmaster of the Uktulut tribe--has been purposefully withdrawing his guards and refusing to let his hunters venture far. Tutaqan dismissed your victory over the Qalashi and retreated to the ottuk holt, leaving you to help the villagers yourself.",,103130
592,"You assisted Tutaqan and Elder Unujaak in performing a ritual to safeguard Ipko's passage to the ancestors. Distraught with grief, Tutaqan left shortly after.",,103133
593,"Encouraged by Elder Unujaak, you found Tutaqan at the overlook above the village and offered to help him. He confided in you that knows he must find a new hunting ottuk and take his place as a leader again but that his grief is preventing him from doing it alone.",,103134
599,"Koranos advised you to seek out watcher logs in Valdrakken. The logs revealed the potential location of three stones that could, when combined, unlock the sealed titan door. 

While you were discovering this information Sarkareth, leader of the Sundered Flame, attacked you and stole the logs.",,103358
597,Naleidea Rivergleam of the Dragonscale Expedition has a new expedition for you to embark on.,The Sealed Titan Door,103105
601,"Back at the Basecamp, Toddy came up with a plan to set up the facility entrance and open the door. However, she said she'd need some time to complete it. Continue working with the Dragonscale Expedition, and Toddy will call for you when she's prepared.",,103361
598,"The Dragonscale Expedition discovered a mysterious sealed titan door in Thaldraszus. After traveling there with Naleidea and Toddy and exploring the area, you were no closer to figuring out how to open it. Naleidea advised you to travel to Valdrakken and speak with Watcher Koranos, to see if he has any information on the sealed facility.",,103356
595,"Someone in the village sounded Tutaqan's hunting horn. You ventured down from the overlook to investigate and learned that the Qalashi, incensed by your earlier victory, had advanced west to boil the river upstream and finish off the tribe more quickly.",,103136
594,"You brought several of Uktulut's trained ottuks to Tutaqan to help him find a new hunting companion. After meeting one that displayed a sense of duty that Tutaqan found inspiring, he accepted the ottuk as his companion and named it Qipi.",,103135
587,"After speaking to Murik, you learned that the Uktulut tribe mysteriously fell out of contact with Iskaara in recent weeks. You were tasked with attempting to make contact with them.",,103127
590,"You salvaged lost trading goods from the shallow river and brought them back to Crafter Kuliqa. She began making weapons for Uktulut's hunters and let you test one of the prototypes.

You also helped gather fish from the river for Elder Unujaak. You learned that the nearby Qalashi presence has been steadily heating the river, threatening the Uktulut tribe's main food source.",,103131
603,"The titan facility was successfully unsealed, but the main hall was locked behind an energy barrier. According to Toddy, passing through the ancient titan teleporters in the facility would give you access to override consoles that would bring the barrier down.",,103684
606,"A drakonid emissary named Rymek arrived at the Emerald Gardens and earned the trust of the green dragonflight. Through an act of betrayal, he revealed himself as a Primalist, invading the Emerald Dream to search for the nascent World Tree.",Garden of Secrets,104947
591,"After noticing your good deeds, Tutaqan revealed that he had been neglecting his duties because his hunting companion, an ottuk named Ipko, had recently gone missing along with several others. 

You helped the chieftain search for Ipko near the Qalashi's territory and found her slain. You returned her body to the Tutaqan.",,103132
607,"Now that Malfurion Stormrage has taken Ysera's place in Ardenweald, the former green Aspect has returned to the Emerald Dream. We have reunited the green dragonflight and defeated Rymek. Growing in power, Merithra now leads as the new Dreamer.",The Dreamer,104948
600,"Upon returning to Naleidea and Toddy, you were tasked with hunting down and retrieving the three stones before Sarkareth and the Sundered Flame could claim them.

With the three stones of Tyr collected, unsealing the Titan Facility was within reach. Naleidea and Toddy asked you to meet them back at the Dragonscale Basecamp to discuss the next steps.",,103359
660,"Rebel Dragonkin have plagued Valdrakken since the dragons returned. Alexstrasza wants to understand these rebels, but the violence cannot go on. She has asked for your aid in addressing the threat.",Rebel Resurgence,108832
585,"After hearing a brief update on Tyrhold, you and Alexstrasza travelled to Tyrhold. Alexstrasza was unable to reactivate the Mother Oathstone, a failure which greatly pleased the lurking Raszageth.

While Alexstrasza and Raszageth fought, you faced off against the empowered protodrake Ezrigeth. After emerging victorious, Nozdormu arrived and advised we would need to act quickly to stop Raszageth from freeing the other Incarnates.",The Mother Oathstone,101987
588,"The standoffish Uktulut tribe rebuffed you and refused to let you speak to their chieftain. To prove yourself worthy of their time, you slayed a powerful Qalashi leader at Scalecracker Keep and brought back proof.",,103128
596,"Fighting alongside Tutaqan and Qipi, you slayed Zhurtan the Riverboiler, the Qalashi leader responsible for Uktulut's troubles. You returned to the village victorious.

Tutaqan pledged to protect the village once more, promising that trade would resume with Iskaara and Uktulut would never endure these troubles again.",,103138
